506,Tuen Mun Ferry Pier <=> Siu Lun 
K12,Tai Po Market Station <=> Eightland Garden 
K14,Tai Po Mega Mall <=> Tai Po Market Station 
K17,Tai Po Market Station <=> Fu Shin 
K18,Tai Po Market Station <=> Kwong Fuk 
K51,Fu Tai <=> Tai Lam 
K52,Tuen Mun Station <=> Lung Kwu Tan 
K52A,Tuen Mun Station <=> Tsang Tsui 
K53,Tuen Mun Station <=> So Kwun Wat (Circular) 
K54,Wo Tin Estate <=> Tuen Mun Town Centre (Circular)
K58,Fu Tai <=> Castle Peak Bay 
K65,Yuen Long Station <=> Lau Fau Shan 
K66,Long Ping <=> Tai Tong Wong Nai Tun Tsuen 
K68,Yuen Long Industrial Estate <=> Yuen Long Park (Circular) 
K73,Tin Heng <=> Yuen Long West 
K74,Tin Shui <=> Au Tau (Circular) 
K75A,Tin Shui Wai Station <=> Hung Shui Kiu (Circular) 
K75P,Tin Shui <=> Hung Shui Kiu (Circular) 
K76,Tin Heng <=> Tin Shui Wai Station 
